,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count,token,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
213,2020-10-21 00:00:00+00:00,,en,,,999,14321,,"New York, New York",1641271261,2013-08-02 20:20:16+00:00,False,False,,1,30,False,,250,True,Vaporuuuu,,vaporubjunkie,False,C0DEED,http://pbs.twimg.com/profile_images/564997245838168064/5Rp16QOo_normal.jpeg,,1318703547903598598,0,False,Twitter Web App,False,3345,"['BREAKING', 'The', 'man', 'suspended', 'side', 'Trump', 'Tower', '14hour', 'standoff', 'SWAT', 'negoti']",BREAKING,The,man,suspended,side,Trump,Tower,14hour,standoff,SWAT,negoti,,,,,,,,,,,,,
214,2020-10-21 00:00:01+00:00,,en,,,4120,695,,Ohio,343096945,2011-07-27 01:55:02+00:00,False,False,,0,33,False,,296,True,Chris Schleig,,cschleig,False,C0DEED,http://pbs.twimg.com/profile_images/1516135254/twitterpic_normal.jpg,,1318703551003168768,0,False,Twitter for iPad,False,61164,"['Listening', 'scientists', 'bad', 'thing', 'I', 'cant', 'believe', 'said']",Listening,scientists,bad,thing,I,cant,believe,said,,,,,,,,,,,,,,,,
215,2020-10-21 00:00:01+00:00,,en,,,63587,22642,She/Her. I am Canadian.. I play Dystopian Hellscape Bingo. Gramma Mother and Wife #FBR #fibrowarrior #syringomyelia #CanadaResists,Purgatory,2408000790,2014-03-23 23:43:36+00:00,False,False,,0,1211,False,,2090,True,Amy Sutherland,,AmySutherland69,False,C0DEED,http://pbs.twimg.com/profile_images/1339827624768491520/5W9gAhjX_normal.jpg,,1318703551556714496,0,False,Twitter for Android,False,156,"['Breaking', 'Lawyers', 'say', 'cant', 'find', 'parents', '545', 'migrant', 'children', 'separated', 'by']",Breaking,Lawyers,say,cant,find,parents,545,migrant,children,separated,by,,,,,,,,,,,,,
216,2020-10-21 00:00:01+00:00,,en,,,8524,11121,,"Alpharetta, GA",28445582,2009-04-02 23:21:41+00:00,False,False,,0,104,False,,1600,True,kent harrington,,FlybiwireKent,False,C0DEED,http://pbs.twimg.com/profile_images/1313914178567114753/WhdQQnNS_normal.jpg,,1318703551313530883,0,False,Twitter for iPad,False,0,"['ThenSen', 'Biden', 'Pushed', '2005', 'Bill', 'Benefited', 'Sons', 'Employer', 'MBNA', 'via']",ThenSen,Biden,Pushed,2005,Bill,Benefited,Sons,Employer,MBNA,via,,,,,,,,,,,,,,
217,2020-10-21 00:00:01+00:00,,en,,,304782,289574,Sexology:LGBTQS #relationshipgoals #AI #MAGASexual #CivilRights #RTnotEndorsement #NotMedAdvice #ArmyBrat #Opinion #LOL #CommonSenstrist #BI #ControlGroup #NFT,Donate to @codeofvets plz ,773224756971577344,2016-09-06 18:22:02+00:00,False,False,,222,6390,False,,3062,False,Doctor Sekzi 🔥 ⚽️⭐♪ᕕ( ᐛ )ᕗ♪,,DoctorSekzi,False,000000,http://pbs.twimg.com/profile_images/1350728672865636354/qztcA0DO_normal.jpg,,1318703551552638981,0,False,Twitter for Android,False,1162,"['Numerous', 'pictures', 'underage', 'girls', 'Media', 'still', 'defending', 'Hunter', 'Biden', 'Still', 'big', 'deal']",Numerous,pictures,underage,girls,Media,still,defending,Hunter,Biden,Still,big,deal,,,,,,,,,,,,
218,2020-10-21 00:00:01+00:00,,en,,,862010,118277,"Former writer for MundoRare and DK Vine, fan of entertainment, and a frequent retweeter. Mostly retweeting what I like, believe in, and what I find funny.","Miami, FL",47672656,2009-06-16 16:48:37+00:00,False,False,https://t.co/HQfvYM3CCe,7,1311,False,,2499,True,Vladimir Lestrade,,MochiMochiMark,True,C0DEED,http://pbs.twimg.com/profile_images/1455032696925790213/BJPE-J8T_normal.jpg,,1318703551519072261,0,False,Twitter for iPhone,False,30040,"['Breaking', 'NBC', 'Lawyers', 'say', 'cant', 'find', 'parents', '545', 'migrant', 'children', 'separated', 'Trump', 'administration', 'http']",Breaking,NBC,Lawyers,say,cant,find,parents,545,migrant,children,separated,Trump,administration,http,,,,,,,,,,
219,2020-10-21 00:00:01+00:00,,en,,,3957,98770,WHO DAT!!?!! ♋️⚜️💜💛,Louisiana,15461718,2008-07-17 00:13:41+00:00,False,False,,12,274,False,,300,False,K.M.,,TheK_Mac,True,FFCC4D,http://pbs.twimg.com/profile_images/865024234753585152/g_YU7oMQ_normal.jpg,,1318703551456096256,0,False,Twitter for iPhone,False,22611,"['I', 'dont', 'think', 'yall', 'realize', 'scary', 'is', 'We', 'moments', 'away', 'Democracy', 'anymore', 'I', 'want', 'y']",I,dont,think,yall,realize,scary,is,We,moments,away,Democracy,anymore,I,want,y,,,,,,,,,
220,2020-10-21 00:00:01+00:00,,en,,,734,7687,"Anonymous patriots. Authors of ""Being Rogue"". Country over traitors.   https://t.co/u7XYcfk3y0
https://t.co/t38ibRhQq7","Washington, DC",824473943931293697,2017-01-26 04:28:01+00:00,False,False,https://t.co/zpdYf3BhGV,4898,669820,False,,69,True,Rogue POTUS Staff,,RoguePOTUSStaff,True,F5F8FA,http://pbs.twimg.com/profile_images/880768828581478401/bpvkUiQF_normal.jpg,,1318703551359582208,487,False,Twitter Web App,False,112,"['A', 'foundation', 'conservatism', 'government', 'tends', 'incompetent', 'take', 'kind', 'grand', 'large', 'sca']",A,foundation,conservatism,government,tends,incompetent,take,kind,grand,large,sca,,,,,,,,,,,,,
221,2020-10-21 00:00:01+00:00,,en,,,468366,229300,,,231285991,2010-12-28 03:13:57+00:00,False,False,,1,833,False,,110,True,Elke,,ElkenBill,False,C0DEED,http://pbs.twimg.com/profile_images/1412475057515819011/xN7OeFnG_normal.jpg,,1318703551485390848,0,False,Twitter Web App,False,1826,"['The', 'guy', 'made', 'everyone', 'Apprentice', 'sign', 'NDAs', 'wouldnt', 'find', 'cant', 'read', 'snorts', 'Adderall', 'amp', 'wears', 'Depend']",The,guy,made,everyone,Apprentice,sign,NDAs,wouldnt,find,cant,read,snorts,Adderall,amp,wears,Depend,,,,,,,,
223,2020-10-21 00:00:01+00:00,,en,,,530,2086,The guy in VA94 rigged until flipped-the criminality of voter suppression and Electoral College manipulation must end. My cat agrees-and she’s been fed,"Newport News, VA",1276916229010345984,2020-06-27 16:32:28+00:00,False,False,,0,55,False,,204,True,deckard801,,deckard801,False,F5F8FA,http://pbs.twimg.com/profile_images/1276917303490359297/vUnsUGVh_normal.jpg,,1318703551531634688,0,False,Twitter for iPhone,False,0,"['Your', 'president', 'degenerate', 'pighow', 'factor', 'god', 'Whats', 'in']",Your,president,degenerate,pighow,factor,god,Whats,in,,,,,,,,,,,,,,,,
225,2020-10-21 00:00:01+00:00,,en,,,163409,164850,I retweet all mentions of Hegel.,,1217556943453077504,2020-01-15 21:19:37+00:00,False,False,,1,476,False,,0,True,HegelBot,,hegelretweets,False,F5F8FA,http://pbs.twimg.com/profile_images/1217575914441064448/yMOzytM5_normal.jpg,,1318703551753969666,0,False,Hegel Bot,False,1,"['Biden', 'team', 'As', 'GOP', 'cabinet', 'theyve', 'never', 'head', 'Gates', 'Hegel', 'Cohen', 'I']",Biden,team,As,GOP,cabinet,theyve,never,head,Gates,Hegel,Cohen,I,,,,,,,,,,,,
226,2020-10-21 00:00:01+00:00,,en,,,94647,5360,Usually profane; sometimes profound. Feminist. Scientist. Crazy cat lady in training. Roller derby enthusiast. Redhead. She/Her pronouns.,"Nebraska, USA",16002534,2008-08-26 20:51:23+00:00,False,False,,1,571,False,,1095,True,RaggedyMandy,,RaggedyMandy,False,C0DEED,http://pbs.twimg.com/profile_images/1232664468892590080/Gw9vEENy_normal.jpg,,1318703551795834894,0,False,Twitter for Android,False,3275,"['BREAKING', 'Apparently', 'NYTimes', 'uncovered', 'secret', 'bank', 'account', 'Trump', 'China']",BREAKING,Apparently,NYTimes,uncovered,secret,bank,account,Trump,China,,,,,,,,,,,,,,,
227,2020-10-21 00:00:01+00:00,,en,,,24663,56484,"Retweets are not endorsements but for information ℹ .

Notoriously bad typist!",,1198253578474999810,2019-11-23 14:55:13+00:00,False,False,,1,786,False,,3031,True,Pwyll,,newsjunkie1981,False,F5F8FA,http://pbs.twimg.com/profile_images/1325486453909049344/ey1PHVZ-_normal.jpg,,1318703551774920706,0,False,Twitter for Android,False,18558,"['BREAKING', 'announces', 'turned', 'Hunter', 'Biden', 'hard', 'drive', 'Delaware', 'State', 'Police', 'due', 'pictures', 'of']",BREAKING,announces,turned,Hunter,Biden,hard,drive,Delaware,State,Police,due,pictures,of,,,,,,,,,,,
228,2020-10-21 00:00:01+00:00,,en,,,6964,3125,"❤ HORSE HATE ZONE ❤
👍 Preop MtM lesbian vegan 👍
👏 Pronouns: Fecese/Fecelf/Retard 👌

Never apologize for being yourself",Fort Worth Texas,4878548379,2016-02-05 19:42:19+00:00,False,False,,1,30,False,,85,True,DeeDos,,DeeDos1418,False,F5F8FA,http://pbs.twimg.com/profile_images/1327364594780737537/XXOW4Ck__normal.jpg,,1318703551728832521,0,False,Twitter Web App,False,104,"['Man', 'in', 'families', '47', 'years', 'needs', '4', 'finally', 'fuckin', 'something', 'All', 'Power']",Man,in,families,47,years,needs,4,finally,fuckin,something,All,Power,,,,,,,,,,,,
229,2020-10-21 00:00:01+00:00,,en,,,135339,67409,IN THE BAY WE GET HYPHY 🤘🏼☹️ 🤘🏼 🇲🇽 🏳️‍🌈,,779160052099870721,2016-09-23 03:26:47+00:00,False,False,,0,375,False,,371,True,HYPHY ASS LIZ 💸🚿,,litasslizz,True,F5F8FA,http://pbs.twimg.com/profile_images/1387826860638097409/PSlBTj0j_normal.jpg,,1318703551908958209,0,False,Twitter for iPhone,False,33251,"['The', 'new', 'confederate', 'flag']",The,new,confederate,flag,,,,,,,,,,,,,,,,,,,,
230,2020-10-21 00:00:01+00:00,,en,,,27196,30108,"is a first generation immigrant and the original author of the OpenBSD FIB (6.0 and later.) The photo is San Francisco at night from 2,000' MSL.",U.S.,83652800,2009-10-19 17:59:09+00:00,False,False,https://t.co/bFtkFNDvEA,30,427,False,,920,True,Yoichi Hariguchi,,hariguchi,True,C0DEED,http://pbs.twimg.com/profile_images/967220173/sf-night_normal.jpg,,1318703551875411968,0,False,Twitter for iPhone,False,17491,"['Breaking', 'New', 'NYT', 'Trump', 'taxes', 'report', 'Trumps', 'tax', 'records', 'show', 'Trump', 'maintains', 'previously', 'unknown', 'bank', 'account', 'in']",Breaking,New,NYT,Trump,taxes,report,Trumps,tax,records,show,Trump,maintains,previously,unknown,bank,account,in,,,,,,,
232,2020-10-21 00:00:01+00:00,,en,,,273740,133846,Escapee from Democrat Plantation 🙌🏾 #DemExit 🇺🇸 Eternal Vigilance is the Price We Pay for Freedom 🚨 Facebook TerryExDemMaga🇺🇸,United States,2801177472,2014-09-10 06:15:09+00:00,False,False,https://t.co/5JgQZiZaCM,245,65241,False,,7341,True,ExDemLatina,,ExDemLatina,True,C0DEED,http://pbs.twimg.com/profile_images/1399148384464769025/TYLYaW05_normal.jpg,,1318703551942696960,0,False,Twitter for iPhone,False,365,"['During', 'rally', 'Trump', 'stopped', 'play', 'audio', 'statingpromising', 'end', 'fracking', 'In']",During,rally,Trump,stopped,play,audio,statingpromising,end,fracking,In,,,,,,,,,,,,,,
233,2020-10-21 00:00:01+00:00,,en,,,85276,106989,"Animal lover, Trump hater, political junkie, if you follow trump DON'T follow me. ex republican (pre tea party) now Independent   #resist #trumpneedstogo",,139830911,2010-05-03 20:25:26+00:00,False,False,,10,2727,False,,3316,True,clare,,putridworld,False,C0DEED,http://pbs.twimg.com/profile_images/1301505718584045568/9Zo_UKq6_normal.jpg,,1318703551917555712,0,False,Twitter for Android,False,7335,"['Hes', 'literally', 'raising', '2020', 'cash', 'since', 'early', '2017', 'Where', 'Trump', 'campaigns', 'money', 'go']",Hes,literally,raising,2020,cash,since,early,2017,Where,Trump,campaigns,money,go,,,,,,,,,,,
234,2020-10-21 00:00:01+00:00,,en,,,24356,22552,"Retired HR Sr. Manager. Amateur Photographer. “When someone shows you who they are, believe them”. Mad As Hell. #AntiFascist","At Home, USA ",21357983,2009-02-20 00:37:16+00:00,False,False,,12,228,False,,861,False,Karina 💉 FULLY VACCINATED 😷 Mask Wearer,,Miakarina1,False,1C130E,http://pbs.twimg.com/profile_images/1441457041579577344/06tSB6It_normal.jpg,,1318703551707815936,0,False,Twitter for iPad,False,0,"['How', 'kids', 'doing', 'Lawyers', 'We', 'cant', 'find', 'parents', '545', 'kids', 'separated', 'Trump', 'admin']",How,kids,doing,Lawyers,We,cant,find,parents,545,kids,separated,Trump,admin,,,,,,,,,,,
236,2020-10-21 00:00:01+00:00,,en,,,167632,77475,,,118484342,2010-02-28 20:53:04+00:00,False,False,,0,302,False,,84,True,Amy Sawyer Fogg,,muphinn,False,C0DEED,http://pbs.twimg.com/profile_images/965216213738639360/odEqCmAp_normal.jpg,,1318703552072716288,0,False,Twitter for Android,False,3245,"['Whether', 'its', 'first', 'time', 'voting', 'youre', 'old', 'pro', 'voting', 'better', 'friends', 'family', 'So', 'message', 'folks', 'an']",Whether,its,first,time,voting,youre,old,pro,voting,better,friends,family,So,message,folks,an,,,,,,,,
237,2020-10-21 00:00:01+00:00,,en,,,132620,173984,,,704320229321662465,2016-02-29 15:00:03+00:00,False,False,,10,15363,False,,14400,True,Evat1010,,evat101010,True,F5F8FA,http://pbs.twimg.com/profile_images/753356998440316928/-TdhtYjA_normal.jpg,,1318703552106254337,0,False,Twitter for iPhone,False,419,"['Joe', 'Biden', 'claims', 'never', 'told', 'farleft', 'activists', 'get', 'rid', 'fracking', 'Thats', 'lie', 'He', 'eliminate', 'frackin']",Joe,Biden,claims,never,told,farleft,activists,get,rid,fracking,Thats,lie,He,eliminate,frackin,,,,,,,,,
238,2020-10-21 00:00:01+00:00,,en,,,63488,104217,Niagara Falls Canada,,622142396,2012-06-29 18:48:20+00:00,False,False,,104,31461,False,,34515,True,CASINO,,CASINOFALLS,True,C0DEED,http://pbs.twimg.com/profile_images/746418261672210433/XhJgYC-q_normal.jpg,,1318703551988797440,0,False,Twitter for iPhone,False,125,"['Thanks', 'Lori', 'Friends', 'Im', 'looking', 'forward', 'enlightening', 'hour', 'President', 'Trump', 'White', 'House']",Thanks,Lori,Friends,Im,looking,forward,enlightening,hour,President,Trump,White,House,,,,,,,,,,,,
239,2020-10-21 00:00:01+00:00,,en,,,17660,172640,"Tweets from FinchHaven (Digital Photography)

/ #Politics #M4A

/ #Climate #GND

/ #Weather #Wx

/ Radical Progressive-Leftist

/ Rated ""Normal"" by @BotSentinel","Salish Sea, Cascadia, Nor Am",85844581,2009-10-28 15:44:42+00:00,False,False,https://t.co/nbiLcjgfEO,5,347,False,,24,False,FinchHaven (Photography),,FinchHaven,False,131516,http://pbs.twimg.com/profile_images/3608751690/e98fa08f4bd86b48bc13edd05e939266_normal.png,,1318703552219340801,0,False,Tweetbot for iΟS,False,66,"['The', 'TrumpPence', 'administration', 'knew', 'going', 'happen', '', 'plowed', 'ahead', 'anyway', 'Utterly', 'disgusting', 'inhumane']",The,TrumpPence,administration,knew,going,happen,,plowed,ahead,anyway,Utterly,disgusting,inhumane,,,,,,,,,,,
240,2020-10-21 00:00:01+00:00,,en,,,38751,113073,"Retired Army.  Political junkie. Enjoying each day.
Fiscal Conservative. Social Liberal.  Appreciates clever humor. Supporter of Trump's #AmericaFirst agenda.","St Augustine, FL",23863268,2009-03-12 00:46:39+00:00,False,False,,17,645,False,,582,True,iu70us,,iu70us,True,C0DEED,http://pbs.twimg.com/profile_images/1400396673/bear_normal.jpg,,1318703552328568834,0,False,Twitter Web App,False,0,"['Reminder', 'Hillary', 'outspent', 'Trump', '2', '1', '2016']",Reminder,Hillary,outspent,Trump,2,1,2016,,,,,,,,,,,,,,,,,
241,2020-10-21 00:00:01+00:00,,en,,,111495,62094,,"Eagan, MN",24097277,2009-03-13 01:36:41+00:00,False,False,,3,145,False,,440,True,Joyce E. Norman,,joyceenorman,True,C0DEED,http://pbs.twimg.com/profile_images/619678664150507520/qRqtHWm-_normal.jpg,,1318703552391512065,0,False,Twitter for iPad,False,3275,"['BREAKING', 'Apparently', 'NYTimes', 'uncovered', 'secret', 'bank', 'account', 'Trump', 'China']",BREAKING,Apparently,NYTimes,uncovered,secret,bank,account,Trump,China,,,,,,,,,,,,,,,
242,2020-10-21 00:00:01+00:00,,en,,,12682,7749,"🇺🇲Trump supporter🇺🇲 #PATRIOT 🇺🇲IFBAP🇺🇲

Here for ❤️#Trump❤️ and fellow 🇺🇲Patriots🇺🇲

Tweets contain parody-sarcasm-hyperbole

parler:@RonRodenius","East Texas, USA 🇺🇲",837864923875147776,2017-03-04 03:18:59+00:00,False,False,https://t.co/POjJrIlSGS,0,1455,False,,1578,True,Ron Rodenius,,RonRodenius,False,F5F8FA,http://pbs.twimg.com/profile_images/1192879203181645824/4zbEl9BG_normal.jpg,,1318703552429248517,0,False,Twitter for Android,False,788,"['Joe', 'Biden', 'said', 'look', 'eyes', 'I', 'guarantee', 'you', 'were', 'going', 'end', 'fossil', 'fuel', 'That', 'includes', 'Pennsylvania', 'fracki']",Joe,Biden,said,look,eyes,I,guarantee,you,were,going,end,fossil,fuel,That,includes,Pennsylvania,fracki,,,,,,,
243,2020-10-21 00:00:02+00:00,,en,,,58570,21639,I travel. I serve tiny snacks ✈️. I volunteer. I socialize. I read a lot and watch too much TV. Biden/Harris 🇺🇸 coronavirus sucks!,"Florida, USA",486715246,2012-02-08 15:51:15+00:00,False,False,,0,229,False,,404,True,Travelgirl,,K617L,True,C0DEED,http://pbs.twimg.com/profile_images/1310697436546039810/osX5UloP_normal.jpg,,1318703553372917761,0,False,Twitter for iPhone,False,61164,"['Listening', 'scientists', 'bad', 'thing', 'I', 'cant', 'believe', 'said']",Listening,scientists,bad,thing,I,cant,believe,said,,,,,,,,,,,,,,,,
244,2020-10-21 00:00:02+00:00,,en,,,137169,213822,please don’t crush my grapes ⚜️Who Dat 🇦🇫 🇮🇶 ⭐️⭐️ EBFG,Holy Cross ,49767130,2009-06-22 21:11:19+00:00,False,False,,65,2247,False,,2854,False,Micah Backer,,MrGreenGenez,True,C6E2EE,http://pbs.twimg.com/profile_images/1461744521507713028/Dp4Ekweq_normal.jpg,,1318703555046445059,0,False,Twitter for iPhone,False,14918,"['The', 'real', 'looting', 'America', '644', 'billionaires', 'becoming', '931', 'billion', 'richer', 'pandemic', 'Republicans', 'contin']",The,real,looting,America,644,billionaires,becoming,931,billion,richer,pandemic,Republicans,contin,,,,,,,,,,,
245,2020-10-21 00:00:02+00:00,,en,,,14809,13707,TRUMP2016,,601059917,2012-06-06 15:34:37+00:00,False,False,,7,63,False,,154,True,Abraham Money,,Abe_Money,False,C0DEED,http://pbs.twimg.com/profile_images/3653365360/40da899389b2886c64cef6fab3b4c4b5_normal.jpeg,,1318703554975117312,0,False,Twitter for Android,False,5543,"['Stop', 'Democrats', 'stealing', 'votes', 'President', 'putting', 'Colorados', 'water', 'risk', 'Were', 'fifteen', 'days', 'from']",Stop,Democrats,stealing,votes,President,putting,Colorados,water,risk,Were,fifteen,days,from,,,,,,,,,,,
246,2020-10-21 00:00:02+00:00,,en,,,97389,31143,"""Wouldn’t it be terrible if there were no music there?” - FFS  they/them (non-binary)

pfp is Chucky (2021) poster",,1239311958999957510,2020-03-15 22:06:22+00:00,False,False,https://t.co/F5HMEiKlIA,0,110,False,,815,True,nine🏳️‍⚧️🎃,,NineOnLB,False,F5F8FA,http://pbs.twimg.com/profile_images/1450661657055834115/27ap4uSY_normal.jpg,,1318703555151364096,0,False,Twitter for iPhone,False,61164,"['Listening', 'scientists', 'bad', 'thing', 'I', 'cant', 'believe', 'said']",Listening,scientists,bad,thing,I,cant,believe,said,,,,,,,,,,,,,,,,
247,2020-10-21 00:00:02+00:00,,en,,,229418,225738,,"Melbourne, Victoria",1171814654,2013-02-12 12:23:54+00:00,False,False,,3,1919,False,,5000,True,💧🌱 🔥Tessa declares a climate emergency,,TessaTessapes,False,C0DEED,http://pbs.twimg.com/profile_images/958282228286472193/l_bh4CH6_normal.jpg,,1318703555637780480,0,False,Twitter for iPhone,False,338,"['Now', 'were', 'seeing', 'real', 'tRump', 'meltdown', 'Canceling', 'meetings', 'lashing', 'reporters', 'abruptly', 'walking', 'interviews']",Now,were,seeing,real,tRump,meltdown,Canceling,meetings,lashing,reporters,abruptly,walking,interviews,,,,,,,,,,,
248,2020-10-21 00:00:02+00:00,,en,,,2825,1062,,,393776356,2011-10-19 01:59:46+00:00,False,False,,0,38,False,,266,True,Lisa Chun,,LisaChun1,True,C0DEED,http://pbs.twimg.com/profile_images/378800000436756187/94b00117b187c9a595e566516a50c96b_normal.jpeg,,1318703555440791553,0,False,Twitter for iPhone,False,0,"['Anyone', 'deal', 'DHS', 'amp', 'its', 'bureaucratic', 'incompetence', 'administration', 'could', 'predicte']",Anyone,deal,DHS,amp,its,bureaucratic,incompetence,administration,could,predicte,,,,,,,,,,,,,,
249,2020-10-21 00:00:02+00:00,,en,,,19450,3313,"Father, Independent,  long time union ironworker 
Miami Dolphins and Chicago Cubs fan.
Living with the rare disease sarcoidosis cashapp $Tmar3131","Berthoud, CO",204012145,2010-10-17 18:32:03+00:00,False,False,,1,202,False,,497,True,trey,,treymarlow31,False,C0DEED,http://pbs.twimg.com/profile_images/760492697077579776/VpMqFdNg_normal.jpg,,1318703555625312259,0,False,Twitter for Android,False,0,"['Its', 'coloring', 'book', 'full', 'demented', 'scribblings', 'cheeto', 'charge']",Its,coloring,book,full,demented,scribblings,cheeto,charge,,,,,,,,,,,,,,,,
250,2020-10-21 00:00:02+00:00,,en,,,3273,448,i will scream,,1171056551198674945,2019-09-09 13:43:45+00:00,False,False,,0,18,False,,52,True,mads,,madibluu,True,F5F8FA,http://pbs.twimg.com/profile_images/1429097081298472974/tnla60pI_normal.jpg,,1318703555759529984,0,False,Twitter for iPhone,False,61164,"['Listening', 'scientists', 'bad', 'thing', 'I', 'cant', 'believe', 'said']",Listening,scientists,bad,thing,I,cant,believe,said,,,,,,,,,,,,,,,,
251,2020-10-21 00:00:02+00:00,,en,,,177041,78824,Bittering agent. Grumpard. Idle hummus maniac. Opinions are my own. He/him. #BLM 🏳️‍🌈✡,Canada,27460814,2009-03-29 17:12:37+00:00,False,False,https://t.co/eikZj1SLfU,8,485,False,,2449,False,Nunya Bidniss (of the New Hampshire Bidnisses),,worldwaldweb,False,1A1B1F,http://pbs.twimg.com/profile_images/113914323/1150333259046_normal.png,,1318703555675516929,0,False,Twitter Web App,False,15,"['That', 'intentional', 'mind', 'you', 'Separating', 'children', 'parents', 'form', 'genocide']",That,intentional,mind,you,Separating,children,parents,form,genocide,,,,,,,,,,,,,,,
252,2020-10-21 00:00:02+00:00,,en,,,15164,268179,"RN, Retired. 
Retweets and Likes don't mean I agree.",Southeast,21866516,2009-02-25 13:46:45+00:00,False,False,,92,2878,False,,3090,False,LakeCrazy™ 🇺🇸⚖️ 🎶,,Lakecrazy,False,050505,http://pbs.twimg.com/profile_images/660970538198659073/vXxPy75M_normal.jpg,,1318703555793006592,0,False,Twitter Web App,False,31,"['According', 'Rudy', 'Giuliani', 'depravity', 'Hunters', 'laptop', 'BAD', 'And', 'daddy', 'knew', 'Where', 'arrest', 'Hunter', 'Biden']",According,Rudy,Giuliani,depravity,Hunters,laptop,BAD,And,daddy,knew,Where,arrest,Hunter,Biden,,,,,,,,,,
253,2020-10-21 00:00:02+00:00,,en,,,38372,44700,"Civil debate welcomed though I won't waste time with idiots or trolls, numpties will simply be blocked.",UK.,522769636,2012-03-13 01:45:26+00:00,False,False,,16,954,False,,882,True,Lunar Monkey,,lunar_monkey,False,C0DEED,http://pbs.twimg.com/profile_images/979348956873478144/y7-dr1aF_normal.jpg,,1318703555797286914,0,False,Twitter for Android,False,8561,"['Dear', 'Joe', 'Biden', 'Its', 'week', 'since', 'new', 'revelations', 'son', 'Hunters', 'foreign', 'corruption', 'access', 'selling', 'have']",Dear,Joe,Biden,Its,week,since,new,revelations,son,Hunters,foreign,corruption,access,selling,have,,,,,,,,,
254,2020-10-21 00:00:02+00:00,,en,,,387017,140296,Saving our country from imploding one tweet at a time. Volunteer & vote.❤️📚#GoBison #InvisibleDisability #ChronicPain #DemCast #Fresh #DemVoice1,"Bismarck, North Dakota",1549181269,2013-06-26 21:40:31+00:00,False,False,https://t.co/fJn3r4g1oT,11,14626,False,,14555,False,Andrea America Is Back 🇺🇸,,WholePlateWay,False,000000,http://pbs.twimg.com/profile_images/1202359190209093633/G8bTRiHQ_normal.jpg,,1318703555809857539,0,False,Twitter for iPad,False,12332,"['Um', 'In', '2017', 'Trump', 'Intl', 'Hotels', 'Management', '', 'company', 'Chinese', 'bank', 'account', '', 'reported', 'unusual', '17m', 'revenue', 'spike']",Um,In,2017,Trump,Intl,Hotels,Management,,company,Chinese,bank,account,,reported,unusual,17m,revenue,spike,,,,,,
255,2020-10-21 00:00:02+00:00,,en,,,12895,51562,"Health/Healing Initiator☀️🍎🍋🥬🥦🥕🍒🥑 
                            Just Blessed!",Chicago,2563968596,2014-06-12 19:44:02+00:00,False,False,https://t.co/3vbZqSd0hW,17,1379,False,,2993,False,#HealthIsWealth,,gangsterhealth,True,000000,http://pbs.twimg.com/profile_images/1235221152123023361/9PSt4McR_normal.jpg,,1318703555856007169,0,False,Twitter Web App,False,2190,"['RETWEET', '', '', 'RETWEET', '', 'IF', 'YOU', 'WANT', 'TRUMP', 'TO', 'FIRE', 'WRAY']",RETWEET,,,RETWEET,,IF,YOU,WANT,TRUMP,TO,FIRE,WRAY,,,,,,,,,,,,
256,2020-10-21 00:00:02+00:00,,en,,,79138,69804,"A Butterfly in the sky with a story to tell. Searching for truth. Seeking/Sending Love & Light. Making the world better, one tweet at a time. Heart humongous!",Jersey,66087960,2009-08-16 09:30:01+00:00,False,False,,25,885,False,,593,False,EL Brooks,,almondravyn,False,000000,http://pbs.twimg.com/profile_images/1379255590023745539/mvw_iTyz_normal.jpg,,1318703555906293763,0,False,Twitter Web App,False,335,"['Mary', 'L', 'Trump', 'says', 'Donald', 'getting', 'Covid', 'acting', 'like', 'one', 'fear', 'it', 'not', 'lie', 'insane', 'its', 'also', 'just']",Mary,L,Trump,says,Donald,getting,Covid,acting,like,one,fear,it,not,lie,insane,its,also,just,,,,,,
257,2020-10-21 00:00:02+00:00,,en,,,66070,25118,,,1303895052096122880,2020-09-10 03:16:31+00:00,False,False,,0,71,False,,618,True,Thamer,,Thamer72663870,False,F5F8FA,http://pbs.twimg.com/profile_images/1306717544204566528/-AlIR1YK_normal.jpg,,1318703555922980864,0,False,Twitter for Android,False,445,"['Most', 'America', 'supports', 'Trump', 'Make', 'voice', 'heard', 'loud', 'clearVOTE', 'Trump2020']",Most,America,supports,Trump,Make,voice,heard,loud,clearVOTE,Trump2020,,,,,,,,,,,,,,
258,2020-10-21 00:00:02+00:00,,en,,,27250,6640,,,1083064758583013376,2019-01-09 18:15:35+00:00,False,False,,0,27,True,,141,True,Juliet,,Juliet18048345,False,F5F8FA,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1318703555847467011,0,False,Twitter for Android,False,3835,"['The', 'crowd', 'goes', 'wild', 'Erie', 'PA']",The,crowd,goes,wild,Erie,PA,,,,,,,,,,,,,,,,,,
